sample,category,value
01115249-TC5,Chromoplexy,Chromoplexy
01115525-TA1,Chromoplexy,Chromoplexy
01115549-TA4,Chromoplexy,Chromoplexy
01115576-TC2,Chromoplexy,Chromoplexy
01115655-TC1,Chromoplexy,Chromoplexy
01115668-TA4,Chromoplexy,Chromoplexy
DTB-003-BL,Chromoplexy,Chromoplexy
DTB-008-BL,Chromoplexy,Chromoplexy
DTB-009-BL,Chromoplexy,Chromoplexy
DTB-019-PRO,Chromoplexy,Chromoplexy
DTB-020-BL,Chromoplexy,Chromoplexy
DTB-021-BL,Chromoplexy,Chromoplexy
DTB-053-BL,Chromoplexy,Chromoplexy
DTB-061-BL,Chromoplexy,Chromoplexy
DTB-064-BL,Chromoplexy,Chromoplexy
DTB-067-PRO,Chromoplexy,Chromoplexy
DTB-077-PRO,Chromoplexy,Chromoplexy
DTB-083-BL,Chromoplexy,Chromoplexy
DTB-085-BL,Chromoplexy,Chromoplexy
DTB-089-BL,Chromoplexy,Chromoplexy
DTB-090-PRO,Chromoplexy,Chromoplexy
DTB-091-BL,Chromoplexy,Chromoplexy
DTB-092-BL,Chromoplexy,Chromoplexy
DTB-101-BL,Chromoplexy,Chromoplexy
DTB-104-BL,Chromoplexy,Chromoplexy
DTB-112-BL,Chromoplexy,Chromoplexy
DTB-119-PRO,Chromoplexy,Chromoplexy
DTB-124-BL,Chromoplexy,Chromoplexy
DTB-126-BL,Chromoplexy,Chromoplexy
DTB-128-BL,Chromoplexy,Chromoplexy
DTB-135-PRO,Chromoplexy,Chromoplexy
DTB-138-BL,Chromoplexy,Chromoplexy
DTB-140-BL,Chromoplexy,Chromoplexy
DTB-141-BL,Chromoplexy,Chromoplexy
DTB-156-BL,Chromoplexy,Chromoplexy
DTB-159-BL,Chromoplexy,Chromoplexy
DTB-165-PRO,Chromoplexy,Chromoplexy
DTB-172-BL,Chromoplexy,Chromoplexy
DTB-173-BL,Chromoplexy,Chromoplexy
DTB-176-BL,Chromoplexy,Chromoplexy
DTB-186-BL,Chromoplexy,Chromoplexy
DTB-190-BL,Chromoplexy,Chromoplexy
DTB-201-PRO,Chromoplexy,Chromoplexy
DTB-205-BL,Chromoplexy,Chromoplexy
DTB-206-BL,Chromoplexy,Chromoplexy
DTB-213-BL,Chromoplexy,Chromoplexy
DTB-220-BL,Chromoplexy,Chromoplexy
DTB-223-BL,Chromoplexy,Chromoplexy
DTB-232-PRO,Chromoplexy,Chromoplexy
DTB-234-BL,Chromoplexy,Chromoplexy
DTB-251-BL,Chromoplexy,Chromoplexy
DTB-258-BL,Chromoplexy,Chromoplexy
DTB-265-PRO,Chromoplexy,Chromoplexy
