sample,category,value
01115468-TA3,Chromothripsis,Chromothripsis
01115525-TA1,Chromothripsis,Chromothripsis
01115576-TC2,Chromothripsis,Chromothripsis
01115606-TA2,Chromothripsis,Chromothripsis
DTB-005-BL,Chromothripsis,Chromothripsis
DTB-008-BL,Chromothripsis,Chromothripsis
DTB-020-BL,Chromothripsis,Chromothripsis
DTB-023-BL,Chromothripsis,Chromothripsis
DTB-035-BL,Chromothripsis,Chromothripsis
DTB-036-BL,Chromothripsis,Chromothripsis
DTB-040-BL,Chromothripsis,Chromothripsis
DTB-053-BL,Chromothripsis,Chromothripsis
DTB-059-BL,Chromothripsis,Chromothripsis
DTB-063-BL,Chromothripsis,Chromothripsis
DTB-071-BL,Chromothripsis,Chromothripsis
DTB-090-PRO,Chromothripsis,Chromothripsis
DTB-092-BL,Chromothripsis,Chromothripsis
DTB-097-PRO,Chromothripsis,Chromothripsis
DTB-098-PRO2,Chromothripsis,Chromothripsis
DTB-100-BL,Chromothripsis,Chromothripsis
DTB-102-PRO,Chromothripsis,Chromothripsis
DTB-104-BL,Chromothripsis,Chromothripsis
DTB-127-PRO,Chromothripsis,Chromothripsis
DTB-143-BL,Chromothripsis,Chromothripsis
DTB-149-BL,Chromothripsis,Chromothripsis
DTB-159-BL,Chromothripsis,Chromothripsis
DTB-165-PRO,Chromothripsis,Chromothripsis
DTB-170-BL,Chromothripsis,Chromothripsis
DTB-172-BL,Chromothripsis,Chromothripsis
DTB-202-BL,Chromothripsis,Chromothripsis
DTB-205-BL,Chromothripsis,Chromothripsis
DTB-206-BL,Chromothripsis,Chromothripsis
DTB-216-PRO,Chromothripsis,Chromothripsis
DTB-232-PRO,Chromothripsis,Chromothripsis
DTB-234-BL,Chromothripsis,Chromothripsis
DTB-255-BL,Chromothripsis,Chromothripsis
DTB-265-PRO,Chromothripsis,Chromothripsis
