,sample,category,value
1,DTB-021-BL,Ploidy,2.312
2,DTB-137-PRO,Ploidy,2.92
3,DTB-091-BL,Ploidy,3.426
4,DTB-018-BL,Ploidy,3.177
5,DTB-005-BL,Ploidy,3.49
6,DTB-156-BL,Ploidy,3.305
7,DTB-094-BL,Ploidy,3.31
8,DTB-206-BL,Ploidy,1.977
9,DTB-146-BL,Ploidy,1.862
10,DTB-129-BL,Ploidy,2.01
11,DTB-102-PRO,Ploidy,3.368
12,DTB-104-BL,Ploidy,3.143
13,DTB-222-BL,Ploidy,3.33
14,DTB-035-BL,Ploidy,1.979
15,DTB-011-BL,Ploidy,3.224
16,DTB-143-BL,Ploidy,1.948
17,DTB-170-BL,Ploidy,2.081
18,DTB-126-BL,Ploidy,3.291
19,DTB-149-BL,Ploidy,1.88
20,DTB-216-PRO,Ploidy,1.752
21,DTB-124-BL,Ploidy,1.851
22,DTB-202-BL,Ploidy,3.298
23,DTB-034-BL,Ploidy,3.626
24,DTB-023-BL,Ploidy,1.841
25,DTB-220-BL,Ploidy,1.992
26,DTB-204-BL,Ploidy,1.95
27,DTB-190-BL,Ploidy,3.374
28,DTB-187-BL,Ploidy,1.955
29,DTB-201-PRO,Ploidy,2.039
30,DTB-077-PRO,Ploidy,2.027
31,DTB-080-BL,Ploidy,3.447
32,DTB-098-PRO2,Ploidy,3.104
33,DTB-223-BL,Ploidy,2.372
34,DTB-055-PRO,Ploidy,3.104
35,DTB-151-BL,Ploidy,3.188
36,DTB-252-BL,Ploidy,1.987
37,DTB-009-BL,Ploidy,3.276
38,DTB-040-BL,Ploidy,2.607
39,DTB-071-BL,Ploidy,3.199
40,DTB-165-PRO,Ploidy,3.271
41,DTB-092-BL,Ploidy,3.342
42,DTB-003-BL,Ploidy,3.662
43,DTB-085-BL,Ploidy,3.11
44,DTB-067-PRO,Ploidy,3.782
45,DTB-176-BL,Ploidy,2.042
46,DTB-111-PRO,Ploidy,3.274
47,DTB-112-BL,Ploidy,3.242
48,DTB-266-BL,Ploidy,2.092
49,DTB-100-BL,Ploidy,3.263
50,DTB-234-BL,Ploidy,3.18
51,DTB-083-BL,Ploidy,3.462
52,DTB-255-BL,Ploidy,3.505
53,DTB-167-PRO,Ploidy,3.162
54,DTB-059-BL,Ploidy,3.499
55,DTB-128-BL,Ploidy,3.839
56,DTB-265-PRO,Ploidy,3.546
57,DTB-258-BL,Ploidy,3.293
58,DTB-036-BL,Ploidy,3.467
59,DTB-214-BL,Ploidy,2.139
60,DTB-172-BL,Ploidy,3.581
61,DTB-210-BL,Ploidy,1.692
62,DTB-037-BL,Ploidy,2.113
63,DTB-089-BL,Ploidy,3.703
64,DTB-022-BL,Ploidy,1.974
65,DTB-042-BL,Ploidy,1.961
66,DTB-127-PRO,Ploidy,3.41
67,DTB-159-BL,Ploidy,3.311
68,DTB-061-BL,Ploidy,3.509
69,DTB-175-BL,Ploidy,2.145
70,DTB-232-PRO,Ploidy,3.11
71,DTB-008-BL,Ploidy,3.391
72,DTB-074-BL,Ploidy,3.498
73,DTB-060-BL,Ploidy,2.221
74,DTB-069-BL,Ploidy,3.165
75,DTB-024-PRO,Ploidy,3.45
76,DTB-260-BL,Ploidy,2.003
77,DTB-193-BL,Ploidy,3.235
78,DTB-173-BL,Ploidy,3.882
79,DTB-183-BL,Ploidy,2.351
80,DTB-141-BL,Ploidy,4.035
81,DTB-020-BL,Ploidy,2.221
82,DTB-121-BL,Ploidy,3.458
83,DTB-119-PRO,Ploidy,2.489
84,DTB-140-BL,Ploidy,3.104
85,DTB-064-BL,Ploidy,3.17
86,DTB-188-BL,Ploidy,2.694
87,DTB-090-PRO,Ploidy,3.574
88,DTB-019-PRO,Ploidy,2.659
89,DTB-132-BL,Ploidy,2.012
90,DTB-194-PRO,Ploidy,1.897
91,DTB-138-BL,Ploidy,3.486
92,DTB-063-BL,Ploidy,3.221
93,DTB-205-BL,Ploidy,2.791
94,DTB-261-BL,Ploidy,2.03
95,DTB-251-BL,Ploidy,1.954
96,DTB-135-PRO,Ploidy,3.253
97,DTB-186-BL,Ploidy,3.159
98,DTB-213-BL,Ploidy,2.987
99,DTB-097-PRO,Ploidy,3.524
100,DTB-101-BL,Ploidy,3.429
101,DTB-053-BL,Ploidy,2.971
102,01115378-TA2,Ploidy,3.447
103,01115326-TA3,Ploidy,3.433
104,01115374-TA2,Ploidy,2.253
105,01115668-TA4,Ploidy,3.424
106,01115556-TC1,Ploidy,1.906
107,01115569-TC1,Ploidy,1.996
108,01115576-TC2,Ploidy,3.387
109,01115202-TC2,Ploidy,4.018
110,6115233-T-C1,Ploidy,3.531
