,sample,category,value
1,DTB-021-BL,Purity,0.2015
2,DTB-137-PRO,Purity,0.1823
3,DTB-091-BL,Purity,0.6735
4,DTB-018-BL,Purity,0.1182
5,DTB-005-BL,Purity,0.4669
6,DTB-156-BL,Purity,0.6663
7,DTB-094-BL,Purity,0.5739
8,DTB-206-BL,Purity,0.7082
9,DTB-146-BL,Purity,0.7623
10,DTB-129-BL,Purity,0.8663
11,DTB-102-PRO,Purity,0.1653
12,DTB-104-BL,Purity,0.5183
13,DTB-222-BL,Purity,0.6408
14,DTB-035-BL,Purity,0.6972
15,DTB-011-BL,Purity,0.4612
16,DTB-143-BL,Purity,0.721
17,DTB-170-BL,Purity,0.7441
18,DTB-126-BL,Purity,0.3854
19,DTB-149-BL,Purity,0.7619
20,DTB-216-PRO,Purity,0.4596
21,DTB-124-BL,Purity,0.5951
22,DTB-202-BL,Purity,0.2122
23,DTB-034-BL,Purity,0.93772
24,DTB-023-BL,Purity,0.5229
25,DTB-220-BL,Purity,0.7336
26,DTB-204-BL,Purity,0.3491
27,DTB-190-BL,Purity,0.2204
28,DTB-187-BL,Purity,0.5901
29,DTB-201-PRO,Purity,0.7983
30,DTB-077-PRO,Purity,0.7516
31,DTB-080-BL,Purity,0.6052
32,DTB-098-PRO2,Purity,0.6592
33,DTB-223-BL,Purity,0.8641
34,DTB-055-PRO,Purity,0.8651
35,DTB-151-BL,Purity,0.3034
36,DTB-252-BL,Purity,0.846
37,DTB-009-BL,Purity,0.7224
38,DTB-040-BL,Purity,0.93468
39,DTB-071-BL,Purity,0.8846
40,DTB-165-PRO,Purity,0.6485
41,DTB-092-BL,Purity,0.5374
42,DTB-003-BL,Purity,0.5616
43,DTB-085-BL,Purity,0.5547
44,DTB-067-PRO,Purity,0.8516
45,DTB-176-BL,Purity,0.8866
46,DTB-111-PRO,Purity,0.7388
47,DTB-112-BL,Purity,0.5272
48,DTB-266-BL,Purity,0.848
49,DTB-100-BL,Purity,0.8993
50,DTB-234-BL,Purity,0.6069
51,DTB-083-BL,Purity,0.445
52,DTB-255-BL,Purity,0.6435
53,DTB-167-PRO,Purity,0.6727
54,DTB-059-BL,Purity,0.6392
55,DTB-128-BL,Purity,0.783
56,DTB-265-PRO,Purity,0.6812
57,DTB-258-BL,Purity,0.7505
58,DTB-036-BL,Purity,0.7635
59,DTB-214-BL,Purity,0.8259
60,DTB-172-BL,Purity,0.5782
61,DTB-210-BL,Purity,0.8929
62,DTB-037-BL,Purity,0.4585
63,DTB-089-BL,Purity,0.4927
64,DTB-022-BL,Purity,0.6454
65,DTB-042-BL,Purity,0.1904
66,DTB-127-PRO,Purity,0.8592
67,DTB-159-BL,Purity,0.4992
