sample,category,value
01115154-TA1,Chromoplexy,no
01115156-TA1,Chromoplexy,no
01115156-TC5,Chromoplexy,no
01115157-TA3,Chromoplexy,no
01115157-TC3,Chromoplexy,no
01115183-TA1,Chromoplexy,no
01115202-TC2,Chromoplexy,no
01115244-TA3,Chromoplexy,no
01115248-TA3,Chromoplexy,no
01115249-TC5,Chromoplexy,no
01115257-TA4,Chromoplexy,no
01115263-TA3,Chromoplexy,no
01115284-TA9,Chromoplexy,no
01115326-TA3,Chromoplexy,no
01115374-TA2,Chromoplexy,no
01115378-TA2,Chromoplexy,no
01115414-TA1,Chromoplexy,no
01115444-TA5,Chromoplexy,no
01115468-TA3,Chromoplexy,no
01115503-TC2,Chromoplexy,no
01115525-TA1,Chromoplexy,no
01115531-TA4,Chromoplexy,no
01115549-TA4,Chromoplexy,no
01115554-TA2,Chromoplexy,no
01115556-TC1,Chromoplexy,no
01115569-TC1,Chromoplexy,no
01115574-TC3,Chromoplexy,no
01115576-TC2,Chromoplexy,no
01115577-TC1,Chromoplexy,no
01115578-TC4,Chromoplexy,no
01115581-TA3,Chromoplexy,no
01115589-TC2,Chromoplexy,no
01115606-TA2,Chromoplexy,no
01115644-TA1,Chromoplexy,no
01115655-TA1,Chromoplexy,no
01115655-TC1,Chromoplexy,no
01115668-TA4,Chromoplexy,no
01115669-TA3,Chromoplexy,no
06115115-T,Chromoplexy,no
06115117-T,Chromoplexy,no
06115118-T,Chromoplexy,no
6115233-T-C1,Chromoplexy,no
DTB-003-BL,Chromoplexy,no
DTB-005-BL,Chromoplexy,no
DTB-008-BL,Chromoplexy,no
DTB-009-BL,Chromoplexy,no
DTB-011-BL,Chromoplexy,no
DTB-018-BL,Chromoplexy,no
DTB-019-PRO,Chromoplexy,no
DTB-020-BL,Chromoplexy,no
DTB-021-BL,Chromoplexy,no
DTB-022-BL,Chromoplexy,no
DTB-023-BL,Chromoplexy,no
DTB-024-PRO,Chromoplexy,no
DTB-034-BL,Chromoplexy,no
DTB-035-BL,Chromoplexy,no
DTB-036-BL,Chromoplexy,no
DTB-037-BL,Chromoplexy,no
DTB-040-BL,Chromoplexy,no
DTB-042-BL,Chromoplexy,no
DTB-053-BL,Chromoplexy,no
DTB-055-PRO,Chromoplexy,no
DTB-059-BL,Chromoplexy,no
DTB-060-BL,Chromoplexy,no
DTB-061-BL,Chromoplexy,yes
DTB-063-BL,Chromoplexy,yes
DTB-064-BL,Chromoplexy,no
DTB-067-PRO,Chromoplexy,no
DTB-069-BL,Chromoplexy,no
DTB-071-BL,Chromoplexy,no
DTB-074-BL,Chromoplexy,no
DTB-077-PRO,Chromoplexy,no
DTB-080-BL,Chromoplexy,no
DTB-083-BL,Chromoplexy,no
DTB-085-BL,Chromoplexy,yes
DTB-089-BL,Chromoplexy,yes
DTB-090-PRO,Chromoplexy,no
DTB-091-BL,Chromoplexy,no
DTB-092-BL,Chromoplexy,yes
DTB-094-BL,Chromoplexy,no
DTB-097-PRO,Chromoplexy,no
DTB-098-PRO2,Chromoplexy,no
DTB-100-BL,Chromoplexy,no
DTB-101-BL,Chromoplexy,no
DTB-102-PRO,Chromoplexy,no
DTB-104-BL,Chromoplexy,no
DTB-111-PRO,Chromoplexy,no
DTB-112-BL,Chromoplexy,no
DTB-119-PRO,Chromoplexy,no
DTB-121-BL,Chromoplexy,no
DTB-124-BL,Chromoplexy,no
DTB-126-BL,Chromoplexy,no
DTB-127-PRO,Chromoplexy,no
DTB-128-BL,Chromoplexy,no
DTB-129-BL,Chromoplexy,no
DTB-132-BL,Chromoplexy,no
DTB-135-PRO,Chromoplexy,no
DTB-137-PRO,Chromoplexy,no
DTB-138-BL,Chromoplexy,no
DTB-140-BL,Chromoplexy,no
DTB-141-BL,Chromoplexy,no
DTB-143-BL,Chromoplexy,no
DTB-146-BL,Chromoplexy,no
DTB-149-BL,Chromoplexy,no
DTB-151-BL,Chromoplexy,no
DTB-156-BL,Chromoplexy,no
DTB-159-BL,Chromoplexy,no
DTB-165-PRO,Chromoplexy,no
DTB-167-PRO,Chromoplexy,no
DTB-170-BL,Chromoplexy,no
DTB-172-BL,Chromoplexy,no
DTB-173-BL,Chromoplexy,no
DTB-175-BL,Chromoplexy,no
DTB-176-BL,Chromoplexy,yes
DTB-183-BL,Chromoplexy,no
DTB-186-BL,Chromoplexy,no
DTB-187-BL,Chromoplexy,no
DTB-188-BL,Chromoplexy,no
DTB-190-BL,Chromoplexy,no
DTB-193-BL,Chromoplexy,no
DTB-194-PRO,Chromoplexy,no
DTB-201-PRO,Chromoplexy,no
DTB-202-BL,Chromoplexy,no
DTB-204-BL,Chromoplexy,no
DTB-205-BL,Chromoplexy,yes
DTB-206-BL,Chromoplexy,no
DTB-210-BL,Chromoplexy,no
DTB-213-BL,Chromoplexy,no
DTB-214-BL,Chromoplexy,no
DTB-216-PRO,Chromoplexy,no
DTB-220-BL,Chromoplexy,no
DTB-222-BL,Chromoplexy,no
DTB-223-BL,Chromoplexy,no
DTB-232-PRO,Chromoplexy,no
DTB-234-BL,Chromoplexy,no
DTB-251-BL,Chromoplexy,no
DTB-252-BL,Chromoplexy,no
DTB-255-BL,Chromoplexy,no
DTB-258-BL,Chromoplexy,no
DTB-260-BL,Chromoplexy,no
DTB-261-BL,Chromoplexy,no
DTB-265-PRO,Chromoplexy,no
DTB-266-BL,Chromoplexy,no
01115154-TA1,chromothripsis (AR),no
01115156-TA1,chromothripsis (AR),no
01115156-TC5,chromothripsis (AR),no
01115157-TA3,chromothripsis (AR),no
01115157-TC3,chromothripsis (AR),no
01115183-TA1,chromothripsis (AR),no
01115202-TC2,chromothripsis (AR),no
01115244-TA3,chromothripsis (AR),no
01115248-TA3,chromothripsis (AR),no
01115249-TC5,chromothripsis (AR),no
01115257-TA4,chromothripsis (AR),no
01115263-TA3,chromothripsis (AR),no
01115284-TA9,chromothripsis (AR),no
01115326-TA3,chromothripsis (AR),no
01115374-TA2,chromothripsis (AR),no
01115378-TA2,chromothripsis (AR),no
01115414-TA1,chromothripsis (AR),no
01115444-TA5,chromothripsis (AR),no
01115468-TA3,chromothripsis (AR),no
01115503-TC2,chromothripsis (AR),no
01115525-TA1,chromothripsis (AR),no
01115531-TA4,chromothripsis (AR),no
