sample,category,value
DTB-151-BL,ERG,DNA+RNA
DTB-173-BL,ERG,DNA+RNA
01115154-TA1,ERG,DNA
01115156-TA1,ERG,DNA
01115156-TC5,ERG,DNA
01115157-TA3,ERG,DNA
01115157-TC3,ERG,DNA
01115183-TA1,ERG,DNA
01115525-TA1,ERG,DNA
01115556-TC1,ERG,DNA
01115576-TC2,ERG,DNA
01115655-TA1,ERG,DNA
01115655-TC1,ERG,DNA
DTB-008-BL,ERG,DNA+RNA
DTB-018-BL,ERG,DNA+RNA
DTB-019-PRO,ERG,DNA+RNA
DTB-020-BL,ERG,DNA+RNA
DTB-037-BL,ERG,DNA+RNA
DTB-067-PRO,ERG,DNA+RNA
DTB-069-BL,ERG,DNA+RNA
DTB-071-BL,ERG,DNA+RNA
DTB-080-BL,ERG,DNA+RNA
DTB-083-BL,ERG,DNA+RNA
DTB-085-BL,ERG,DNA+RNA
DTB-090-PRO,ERG,DNA+RNA
DTB-092-BL,ERG,DNA+RNA
DTB-102-PRO,ERG,DNA+RNA
DTB-104-BL,ERG,DNA+RNA
DTB-111-PRO,ERG,DNA+RNA
DTB-129-BL,ERG,DNA+RNA
DTB-132-BL,ERG,DNA+RNA
DTB-141-BL,ERG,DNA+RNA
DTB-149-BL,ERG,DNA+RNA
DTB-156-BL,ERG,DNA+RNA
DTB-159-BL,ERG,DNA+RNA
DTB-165-PRO,ERG,DNA+RNA
DTB-176-BL,ERG,DNA+RNA
DTB-186-BL,ERG,DNA+RNA
DTB-202-BL,ERG,DNA+RNA
DTB-205-BL,ERG,DNA
DTB-206-BL,ERG,DNA+RNA
DTB-213-BL,ERG,DNA+RNA
DTB-216-PRO,ERG,DNA+RNA
DTB-223-BL,ERG,DNA+RNA
DTB-232-PRO,ERG,DNA+RNA
DTB-234-BL,ERG,DNA+RNA
DTB-251-BL,ERG,DNA+RNA
DTB-255-BL,ERG,DNA+RNA
DTB-258-BL,ERG,DNA+RNA
DTB-266-BL,ERG,DNA+RNA
DTB-101-BL,ERG,RNA
DTB-034-BL,ERG,RNA
DTB-040-BL,ERG,RNA
DTB-077-PRO,ERG,RNA
DTB-121-BL,ERG,RNA
DTB-124-BL,ERG,RNA
DTB-172-BL,ERG,RNA
DTB-003-BL,ERG,None
DTB-005-BL,ERG,None
DTB-009-BL,ERG,None
DTB-011-BL,ERG,None
DTB-021-BL,ERG,None
DTB-022-BL,ERG,None
DTB-023-BL,ERG,None
DTB-024-PRO,ERG,None
DTB-035-BL,ERG,None
DTB-036-BL,ERG,None
DTB-042-BL,ERG,None
DTB-053-BL,ERG,None
DTB-055-PRO,ERG,None
DTB-059-BL,ERG,None
DTB-060-BL,ERG,None
DTB-061-BL,ERG,None
DTB-064-BL,ERG,None
DTB-074-BL,ERG,None
DTB-089-BL,ERG,None
DTB-091-BL,ERG,None
DTB-094-BL,ERG,None
DTB-097-PRO,ERG,None
DTB-098-PRO2,ERG,None
DTB-100-BL,ERG,None
DTB-112-BL,ERG,None
DTB-119-PRO,ERG,None
DTB-126-BL,ERG,None
